Disease	Disease1	ICD-11_Code	Category
Acute miliary tuberculosis of multiple sites	Acute miliary tuberculosis of multiple sites	1B13.1	0
Unspecified zoonotic bacterial disease	Unspecified zoonotic bacterial disease	1B9Z	0
Plague, unspecified	Plague, unspecified	1B93.Z	0
Bubonic plague	Bubonic plague	1B93.0	0
Cellulocutaneous plague	Cellulocutaneous plague	1B93.1	0
Pneumonic plague	Pneumonic plague	1B93.2	0
Plague meningitis	Plague meningitis	1B93.3	0
Tularaemia, unspecified	Tularaemia, unspecified	1B94.Z	0
Ulceroglandular tularaemia	Ulceroglandular tularaemia	1B94.0	0
Anthrax	Anthrax	1B97	0
Brucellosis	Brucellosis	1B95	0
Glanders	Glanders	1B92	0
Melioidosis	Melioidosis	1C42	0
Rat-bite fevers	Rat-bite fevers	1B90	0
Spirillosis	Spirillosis	1B90.0	0
Streptobacillosis	Streptobacillosis	1B90.1	0
Erysipeloid	Erysipeloid	1B96	0
Sepsis without septic shock / Erysipelothrix	Sepsis without septic shock / Erysipelothrix	1G40&XN494	0
Leptospirosis	Leptospirosis	1B91	0
Pasteurellosis	Pasteurellosis	1B99	0
Cat-scratch disease	Cat-scratch disease	1B98	0
Extraintestinal yersiniosis	Extraintestinal yersiniosis	1B9A	0
Leprosy, unspecified	Leprosy, unspecified	1B20.Z	0
Paucibacillary leprosy	Paucibacillary leprosy	1B20.0	0
Multibacillary leprosy	Multibacillary leprosy	1B20.1	0
Pulmonary infection due to non-tuberculous mycobacterium	Pulmonary infection due to non-tuberculous mycobacterium	1B21.0	0
Cutaneous involvement by unspecified bacterial infection	Cutaneous involvement by unspecified bacterial infection	EA5Z	0
Listeriosis, unspecified	Listeriosis, unspecified	1C1A.Z	0
Cutaneous listeriosis	Cutaneous listeriosis	1C1A.0	0
Listerial meningitis or meningoencephalitis	Listerial meningitis or meningoencephalitis	1C1A.1	0
Tetanus neonatorum	Tetanus neonatorum	1C15	0
Obstetrical tetanus	Obstetrical tetanus	1C14	0
Tetanus	Tetanus	1C13	0
Diphtheria, unspecified	Diphtheria, unspecified	1C17.Z	0
Pharyngeal or tonsillar diphtheria, unspecified	Pharyngeal or tonsillar diphtheria, unspecified	1C17.0Z	0
Nasal diphtheria	Nasal diphtheria	1C17.1	0
Laryngeal diphtheria	Laryngeal diphtheria	1C17.2	0
Cutaneous diphtheria	Cutaneous diphtheria	1C17.3	0
Whooping cough, unspecified	Whooping cough, unspecified	1C12.Z	0
Whooping cough due to Bordetella pertussis	Whooping cough due to Bordetella pertussis	1C12.0	0
Whooping cough due to Bordetella parapertussis	Whooping cough due to Bordetella parapertussis	1C12.1	0
Scarlet fever	Scarlet fever	1B50	0
Meningococcal disease, unspecified	Meningococcal disease, unspecified	1C1C.Z	0
Meningococcal meningitis	Meningococcal meningitis	1C1C.0	0
Waterhouse-Friderichsen syndrome	Waterhouse-Friderichsen syndrome	1C1C.1	0
Acute meningococcaemia	Acute meningococcaemia	1C1C.20	0
Meningococcaemia, unspecified	Meningococcaemia, unspecified	1C1C.2Z	0
Sepsis without septic shock / Streptococcus, group A	Sepsis without septic shock / Streptococcus, group A	1G40&XN6LP	0
Sepsis without septic shock / Streptococcus, group B	Sepsis without septic shock / Streptococcus, group B	1G40&XN2M1	0
Sepsis without septic shock / Streptococcus pneumoniae	Sepsis without septic shock / Streptococcus pneumoniae	1G40&XN3PW	0
Sepsis without septic shock / Staphylococcus aureus	Sepsis without septic shock / Staphylococcus aureus	1G40&XN6BM	0
Sepsis without septic shock / Haemophilus influenzae	Sepsis without septic shock / Haemophilus influenzae	1G40&XN1P6	0
Actinomycosis, unspecified	Actinomycosis, unspecified	1C10.Z	0
Pulmonary actinomycosis	Pulmonary actinomycosis	1C10.0	0
Abdominal actinomycosis	Abdominal actinomycosis	1C10.1	0
Cervicofacial actinomycosis	Cervicofacial actinomycosis	1C10.2	0
Nocardiosis, unspecified	Nocardiosis, unspecified	1C1B.Z	0
Pulmonary nocardiosis	Pulmonary nocardiosis	1C1B.0	0
Cutaneous nocardiosis	Cutaneous nocardiosis	1C1B.1	0
Bartonellosis	Bartonellosis	1C11	0
Oroya fever	Oroya fever	1C11.00	0
Verruga peruana	Verruga peruana	1C11.01	0
Erysipelas	Erysipelas	1B70.0	0
Unspecified bacterial disease	Unspecified bacterial disease	1C4Z	0
Gas gangrene	Gas gangrene	1C16	0
Legionellosis	Legionellosis	1C19	0
Nonpneumonic Legionnaires' disease	Nonpneumonic Legionnaires' disease	1C19.0	0
Toxic shock syndrome	Toxic shock syndrome	1B52	0
Brazilian purpuric fever	Brazilian purpuric fever	1C18	0
Predominantly sexually transmitted infections, unspecified	Predominantly sexually transmitted infections, unspecified	1A9Z	0
Congenital syphilis, unspecified	Congenital syphilis, unspecified	1A60.Z	0
Early congenital syphilis, symptomatic	Early congenital syphilis, symptomatic	1A60.0	0
Early congenital syphilis, latent	Early congenital syphilis, latent	1A60.1	0
Late congenital syphilitic oculopathy	Late congenital syphilitic oculopathy	1A60.2	0
Late congenital neurosyphilis	Late congenital neurosyphilis	1A60.3	0
Late congenital syphilis, latent	Late congenital syphilis, latent	1A60.5	0
Early syphilis, unspecified	Early syphilis, unspecified	1A61.Z	0
Primary genital syphilis	Primary genital syphilis	1A61.0	0
Primary anal syphilis	Primary anal syphilis	1A61.1	0
Primary syphilis of other sites	Primary syphilis of other sites	1A61.2	0
Secondary syphilis of skin or mucous membranes	Secondary syphilis of skin or mucous membranes	1A61.3	0
Secondary syphilis of other sites	Secondary syphilis of other sites	1A61.4	0
Latent early syphilis	Latent early syphilis	1A61.5	0
Late syphilis, unspecified	Late syphilis, unspecified	1A62.Z	0
Cardiovascular late syphilis	Cardiovascular late syphilis	1A62.1	0
Symptomatic late neurosyphilis	Symptomatic late neurosyphilis	1A62.01	0
Asymptomatic neurosyphilis	Asymptomatic neurosyphilis	1A62.00	0
Neurosyphilis, unspecified	Neurosyphilis, unspecified	1A62.0Z	0
Symptomatic late syphilis of unspecified site	Symptomatic late syphilis of unspecified site	1A62.2Z	0
Syphilis, unspecified	Syphilis, unspecified	1A6Z	0
Latent syphilis, unspecified as early or late	Latent syphilis, unspecified as early or late	1A63	0
Gonococcal infection, unspecified	Gonococcal infection, unspecified	1A7Z	0
Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess, unspecified	Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess, unspecified	1A70.0Z	0
Gonococcal infection of lower genitourinary tract with periurethral or accessory gland abscess	Gonococcal infection of lower genitourinary tract with periurethral or accessory gland abscess	1A70.1	0
Gonococcal pelviperitonitis	Gonococcal pelviperitonitis	1A71	0
Gonococcal infection of eye	Gonococcal infection of eye	1A72.4	0
Gonococcal infection of musculoskeletal system	Gonococcal infection of musculoskeletal system	1A72.0	0
Gonococcal pharyngitis	Gonococcal pharyngitis	1A72.3	0
Disseminated gonococcal infection	Disseminated gonococcal infection	1A73	0
Chlamydial lymphogranuloma	Chlamydial lymphogranuloma	1A80	0
Non-ulcerative sexually transmitted chlamydial infection of unspecified site	Non-ulcerative sexually transmitted chlamydial infection of unspecified site	1A81.Z	0
Chlamydial infection of lower genitourinary tract	Chlamydial infection of lower genitourinary tract	1A81.0	0
Chlamydial infection of internal reproductive organs	Chlamydial infection of internal reproductive organs	1A81.1	0
Chancroid	Chancroid	1A90	0
Granuloma inguinale	Granuloma inguinale	1A91	0
Trichomoniasis	Trichomoniasis	1A92	0
Anogenital herpes simplex infection without further specification	Anogenital herpes simplex infection without further specification	1A94.Z	0
Herpes simplex infection of genitalia or urogenital tract	Herpes simplex infection of genitalia or urogenital tract	1A94.0	0
Herpes simplex infection of perianal skin or rectum	Herpes simplex infection of perianal skin or rectum	1A94.1	0
Anogenital warts	Anogenital warts	1A95	0
Endemic non-venereal syphilis	Endemic non-venereal syphilis	1C1F	0
Yaws	Yaws	1C1D	0
Primary yaws	Primary yaws	1C1D.0	0
Secondary yaws	Secondary yaws	1C1D.1	0
Tertiary yaws	Tertiary yaws	1C1D.2	0
Latent yaws	Latent yaws	1C1D.3	0
Pinta	Pinta	1C1E	0
Primary lesions of pinta	Primary lesions of pinta	1C1E.0	0
Intermediate lesions of pinta	Intermediate lesions of pinta	1C1E.1	0
Late lesions of pinta	Late lesions of pinta	1C1E.2	0
Mixed lesions of pinta	Mixed lesions of pinta	1C1E.3	0
Relapsing fever	Relapsing fever	1C1J	0
Louse-borne relapsing fever	Louse-borne relapsing fever	1C1J.1	0
Tick-borne relapsing fever	Tick-borne relapsing fever	1C1J.0	0
Necrotising ulcerative gingivitis, unspecified	Necrotising ulcerative gingivitis, unspecified	1C1H.Z	0
Lyme borreliosis	Lyme borreliosis	1C1G	0
Other diseases due to chlamydiae, unspecified	Other diseases due to chlamydiae, unspecified	1C2Z	0
Infections due to Chlamydia psittaci	Infections due to Chlamydia psittaci	1C22	0
Trachoma, unspecified	Trachoma, unspecified	1C23.Z	0
Initial stage of trachoma	Initial stage of trachoma	1C23.0	0
Active stage of trachoma	Active stage of trachoma	1C23.1	0
Chlamydial conjunctivitis	Chlamydial conjunctivitis	1C20	0
Rickettsioses, unspecified	Rickettsioses, unspecified	1C3Z	0
Typhus fever, unspecified	Typhus fever, unspecified	1C30.Z	0
Epidemic louse-borne typhus fever due to Rickettsia prowazekii	Epidemic louse-borne typhus fever due to Rickettsia prowazekii	1C30.0	0
Recrudescent typhus	Recrudescent typhus	1C30.1	0
Typhus fever due to Rickettsia typhi	Typhus fever due to Rickettsia typhi	1C30.2	0
Typhus fever due to Orientia tsutsugamushi	Typhus fever due to Orientia tsutsugamushi	1C30.3	0
Spotted fever, unspecified	Spotted fever, unspecified	1C31.Z	0
Spotted fever due to Rickettsia rickettsii	Spotted fever due to Rickettsia rickettsii	1C31.0	0
Spotted fever due to Rickettsia conorii	Spotted fever due to Rickettsia conorii	1C31.1	0
Spotted fever due to Rickettsia sibirica	Spotted fever due to Rickettsia sibirica	1C31.2	0
Spotted fever due to Rickettsia australis	Spotted fever due to Rickettsia australis	1C31.3	0
Q fever	Q fever	1C33	0
Trench fever	Trench fever	1C11.1	0
Rickettsialpox	Rickettsialpox	1C32	0
Viral infections of the central nervous system, unspecified	Viral infections of the central nervous system, unspecified	1C8Z	0
Acute poliomyelitis	Acute poliomyelitis	1C81	0
Genetic Creutzfeldt-Jakob disease	Genetic Creutzfeldt-Jakob disease	8E02.0	0
Subacute sclerosing panencephalitis	Subacute sclerosing panencephalitis	8A45.01	0
Progressive multifocal leukoencephalopathy	Progressive multifocal leukoencephalopathy	8A45.02	0
Rabies	Rabies	1C82	0
Japanese encephalitis	Japanese encephalitis	1C85	0
Western equine encephalitis	Western equine encephalitis	1C83	0
Eastern equine encephalitis	Eastern equine encephalitis	1C84	0
St Louis encephalitis	St Louis encephalitis	1C86	0
Murray Valley encephalitis	Murray Valley encephalitis	1C88	0
Rocio viral encephalitis	Rocio viral encephalitis	1C87	0
Far Eastern tick-borne encephalitis	Far Eastern tick-borne encephalitis	1C89	0
Central European tick-borne encephalitis	Central European tick-borne encephalitis	1C8A	0
Viral encephalitis not elsewhere classified	Viral encephalitis not elsewhere classified	1C80	0
Viral meningitis not elsewhere classified, unspecified	Viral meningitis not elsewhere classified, unspecified	1C8E.Z	0
Enteroviral meningitis	Enteroviral meningitis	1C8E.1	0
Meningitis due to adenovirus	Meningitis due to adenovirus	1C8E.2	0
Lymphocytic choriomeningitis	Lymphocytic choriomeningitis	1C8F	0
Enteroviral exanthematous fever	Enteroviral exanthematous fever	1F05.2	0
Arthropod-borne viral fever, virus unspecified	Arthropod-borne viral fever, virus unspecified	1D4Z	0
Chikungunya virus disease	Chikungunya virus disease	1D40	0
O'nyong-nyong fever	O'nyong-nyong fever	1D42	0
Venezuelan equine encephalitis	Venezuelan equine encephalitis	1C8C	0
West Nile virus infection	West Nile virus infection	1D46	0
Rift Valley fever	Rift Valley fever	1D44	0
Zika virus disease	Zika virus disease	1D48	0
Oropouche virus disease	Oropouche virus disease	1D43	0
Sandfly fever	Sandfly fever	1D45	0
Colorado tick fever	Colorado tick fever	1D41	0
Yellow fever	Yellow fever	1D47	0
Argentinian haemorrhagic fever	Argentinian haemorrhagic fever	1D61.0	0
Bolivian haemorrhagic fever	Bolivian haemorrhagic fever	1D61.1	0
Lassa fever	Lassa fever	1D61.2	0
Dengue fever, unspecified	Dengue fever, unspecified	1D2Z	0
Dengue without warning signs	Dengue without warning signs	1D20	0
Dengue with warning signs	Dengue with warning signs	1D21	0
Severe dengue	Severe dengue	1D22	0
Crimean-Congo haemorrhagic fever	Crimean-Congo haemorrhagic fever	1D49	0
Omsk haemorrhagic fever	Omsk haemorrhagic fever	1D4A	0
Kyasanur Forest disease	Kyasanur Forest disease	1D4B	0
Marburg disease, virus unspecified	Marburg disease, virus unspecified	1D60.1Z	0
Ebola virus disease	Ebola virus disease	1D60.01	0
Haemorrhagic fever with renal syndrome	Haemorrhagic fever with renal syndrome	1D62.0	0
Zoonotic viral disease, virus unspecified	Zoonotic viral disease, virus unspecified	1D6Z	0
Viral infections characterised by skin or mucous membrane lesions, unspecified	Viral infections characterised by skin or mucous membrane lesions, unspecified	1F0Z	0
Herpes simplex infections, unspecified	Herpes simplex infections, unspecified	1F00.Z	0
Disseminated cutaneous herpes simplex infection complicating other skin diseases	Disseminated cutaneous herpes simplex infection complicating other skin diseases	1F00.03	0
Herpes simplex gingivostomatitis	Herpes simplex gingivostomatitis	1F00.02	0
Herpes simplex meningitis	Herpes simplex meningitis	1F00.20	0
Encephalitis due to herpes simplex virus	Encephalitis due to herpes simplex virus	1F00.21	0
Herpes simplex infection of the eye, unspecified	Herpes simplex infection of the eye, unspecified	1F00.1Z	0
Disseminated herpes simplex infection	Disseminated herpes simplex infection	1F00.3	0
Varicella, unspecified	Varicella, unspecified	1E90.Z	0
Varicella meningitis	Varicella meningitis	1E90.1	0
Varicella encephalitis	Varicella encephalitis	1E90.2	0
Varicella without complication	Varicella without complication	1E90.0	0
Zoster, unspecified	Zoster, unspecified	1E91.Z	0
Zoster with central nervous system involvement	Zoster with central nervous system involvement	1E91.3	0
Ophthalmic zoster	Ophthalmic zoster	1E91.1	0
Disseminated zoster	Disseminated zoster	1E91.2	0
Smallpox	Smallpox	1E70	0
Monkeypox	Monkeypox	1E71	0
Measles	Measles	1F03	0
Measles complicated by encephalitis	Measles complicated by encephalitis	1F03.1	0
Measles complicated by meningitis	Measles complicated by meningitis	1F03.2	0
Measles / Viral pneumonia	Measles / Viral pneumonia	1F03/CA40.1	0
Measles without complication	Measles without complication	1F03.0	0
Rubella	Rubella	1F02	0
Rubella with neurological complications	Rubella with neurological complications	1F02.0	0
Rubella without complication	Rubella without complication	1F02.2	0
Viral warts, not elsewhere classified	Viral warts, not elsewhere classified	1E8Z	0
Molluscum contagiosum	Molluscum contagiosum	1E76	0
Roseola infantum	Roseola infantum	1F01	0
Erythema infectiosum	Erythema infectiosum	1F04	0
Enteroviral vesicular stomatitis	Enteroviral vesicular stomatitis	1F05.0	0
Enteroviral vesicular pharyngitis	Enteroviral vesicular pharyngitis	1F05.1	0
Viral hepatitis, unspecified	Viral hepatitis, unspecified	1E5Z	0
Acute hepatitis A	Acute hepatitis A	1E50.0	0
Acute hepatitis B	Acute hepatitis B	1E50.1	0
Acute viral hepatitis, unspecified	Acute viral hepatitis, unspecified	1E50.Z	0
Acute hepatitis D	Acute hepatitis D	1E50.3	0
Acute hepatitis C	Acute hepatitis C	1E50.2	0
Acute hepatitis E	Acute hepatitis E	1E50.4	0
Chronic viral hepatitis, unspecified	Chronic viral hepatitis, unspecified	1E51.Z	0
Chronic hepatitis D	Chronic hepatitis D	1E51.2	0
Chronic hepatitis B, unspecified	Chronic hepatitis B, unspecified	1E51.0Z	0
Chronic hepatitis C	Chronic hepatitis C	1E51.1	0
Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified	Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified	1C62.Z	0
HIV disease clinical stage 2 without mention of tuberculosis or malaria	HIV disease clinical stage 2 without mention of tuberculosis or malaria	1C62.1	0
HIV disease clinical stage 4 without mention of tuberculosis or malaria	HIV disease clinical stage 4 without mention of tuberculosis or malaria	1C62.3	0
HIV disease clinical stage 3 without mention of tuberculosis or malaria	HIV disease clinical stage 3 without mention of tuberculosis or malaria	1C62.2	0
HIV disease clinical stage 1 without mention of tuberculosis or malaria	HIV disease clinical stage 1 without mention of tuberculosis or malaria	1C62.0	0
Unspecified viral disease	Unspecified viral disease	1E1Z	0
Cytomegaloviral disease, unspecified	Cytomegaloviral disease, unspecified	1D82.Z	0
Cytomegaloviral disease, unspecified / Viral pneumonia	Cytomegaloviral disease, unspecified / Viral pneumonia	1D82.Z/CA40.1	0
Cytomegaloviral hepatitis	Cytomegaloviral hepatitis	1D82.0	0
Cytomegaloviral pancreatitis	Cytomegaloviral pancreatitis	1D82.1	0
Mumps	Mumps	1D80	0
Orchitis due to mumps virus	Orchitis due to mumps virus	1D80.1	0
Meningitis due to mumps virus	Meningitis due to mumps virus	1D80.2	0
Encephalitis due to mumps virus	Encephalitis due to mumps virus	1D80.3	0
Pancreatitis due to mumps virus	Pancreatitis due to mumps virus	1D80.4	0
Mumps without complication	Mumps without complication	1D80.0	0
Infectious mononucleosis, unspecified	Infectious mononucleosis, unspecified	1D81.Z	0
Mononucleosis due to cytomegalovirus	Mononucleosis due to cytomegalovirus	1D81.1	0
Viral conjunctivitis, unspecified	Viral conjunctivitis, unspecified	1D84.Z	0
Conjunctivitis due to adenovirus	Conjunctivitis due to adenovirus	1D84.0	0
Acute epidemic haemorrhagic conjunctivitis	Acute epidemic haemorrhagic conjunctivitis	1D84.1	0
Epidemic myalgia	Epidemic myalgia	1D83	0
Ross River disease	Ross River disease	1D4D	0
Viral carditis, unspecified	Viral carditis, unspecified	1D85.Z	0
Unspecified viral infection of unspecified site	Unspecified viral infection of unspecified site	1D9Z	0
Hantavirus pulmonary syndrome	Hantavirus pulmonary syndrome	1D62.1	0
Adenovirus infection of unspecified site	Adenovirus infection of unspecified site	1D90	0
Enterovirus infection of unspecified site	Enterovirus infection of unspecified site	1D91	0
Coronavirus infection, unspecified site	Coronavirus infection, unspecified site	1D92	0
Parvovirus infection of unspecified site	Parvovirus infection of unspecified site	1D93	0
Mycoses, unspecified	Mycoses, unspecified	1F2Z	0
Dermatophytosis, unspecified	Dermatophytosis, unspecified	1F28.Z	0
Dermatophytosis of nail	Dermatophytosis of nail	1F28.1	0
Dermatophytosis of foot	Dermatophytosis of foot	1F28.2	0
Dermatophytosis, unspecified / Trichophyton concentricum	Dermatophytosis, unspecified / Trichophyton concentricum	1F28.Z&XN8M6	0
Genitocrural dermatophytosis	Genitocrural dermatophytosis	1F28.3	0
Non-dermatophyte superficial dermatomycoses	Non-dermatophyte superficial dermatomycoses	1F2D	0
Pityriasis versicolor	Pityriasis versicolor	1F2D.0	0
Tinea nigra	Tinea nigra	1F2D.4	0
White piedra	White piedra	1F2D.2	0
Black piedra	Black piedra	1F2D.3	0
Candidosis, unspecified	Candidosis, unspecified	1F23.Z	0
Candidosis of lips or oral mucous membranes	Candidosis of lips or oral mucous membranes	1F23.0	0
Pulmonary candidosis	Pulmonary candidosis	1F23.31	0
Candidosis of skin or mucous membranes, unspecified	Candidosis of skin or mucous membranes, unspecified	1F23.1Z	0
Vulvovaginal candidosis	Vulvovaginal candidosis	1F23.10	0
Candida meningitis	Candida meningitis	1F23.30	0
Systemic or invasive candidosis, unspecified / Acute or subacute infectious endocarditis	Systemic or invasive candidosis, unspecified / Acute or subacute infectious endocarditis	1F23.3Z/BB40	0
Coccidioidomycosis, unspecified	Coccidioidomycosis, unspecified	1F25.Z	0
Pulmonary coccidioidomycosis	Pulmonary coccidioidomycosis	1F25.0	0
Primary cutaneous coccidioidomycosis	Primary cutaneous coccidioidomycosis	1F25.11	0
Coccidioides meningitis	Coccidioides meningitis	1F25.12	0
Disseminated coccidioidomycosis	Disseminated coccidioidomycosis	1F25.10	0
Histoplasmosis, unspecified	Histoplasmosis, unspecified	1F2A.Z	0
Pulmonary histoplasmosis capsulati / Acute	Pulmonary histoplasmosis capsulati / Acute	1F2A.0&XT5R	0
Pulmonary histoplasmosis capsulati / Chronic	Pulmonary histoplasmosis capsulati / Chronic	1F2A.0&XT8W	0
Pulmonary histoplasmosis capsulati	Pulmonary histoplasmosis capsulati	1F2A.0	0
Histoplasmosis due to Histoplasma duboisii	Histoplasmosis due to Histoplasma duboisii	1F2A.1	0
Blastomycosis	Blastomycosis	1F22	0
Paracoccidioidomycosis, unspecified	Paracoccidioidomycosis, unspecified	1F2E.Z	0
Pulmonary paracoccidioidomycosis	Pulmonary paracoccidioidomycosis	1F2E.0	0
Disseminated paracoccidioidomycosis	Disseminated paracoccidioidomycosis	1F2E.1	0
Sporotrichosis, unspecified	Sporotrichosis, unspecified	1F2J.Z	0
Pulmonary sporotrichosis	Pulmonary sporotrichosis	1F2J.2	0
Lymphocutaneous sporotrichosis	Lymphocutaneous sporotrichosis	1F2J.0	0
Disseminated sporotrichosis	Disseminated sporotrichosis	1F2J.3	0
Chromoblastomycosis	Chromoblastomycosis	1F24	0
Phaeohyphomycosis	Phaeohyphomycosis	1F2F	0
Aspergillosis, unspecified	Aspergillosis, unspecified	1F20.Z	0
Invasive aspergillosis	Invasive aspergillosis	1F20.0	0
Tonsillar aspergillosis	Tonsillar aspergillosis	1F20.13	0
Disseminated aspergillosis	Disseminated aspergillosis	1F20.02	0
Cryptococcosis, unspecified	Cryptococcosis, unspecified	1F27.Z	0
Pulmonary cryptococcosis	Pulmonary cryptococcosis	1F27.0	0
Cerebral cryptococcosis	Cerebral cryptococcosis	1F27.1	0
Disseminated cryptococcosis	Disseminated cryptococcosis	1F27.2	0
Mucormycosis	Mucormycosis	1F2C	0
Eumycetoma	Eumycetoma	1F29	0
Actinomycetoma	Actinomycetoma	1C43	0
Mycetoma of unknown or unspecified type	Mycetoma of unknown or unspecified type	1G60.0	0
Lobomycosis	Lobomycosis	1F2B	0
Rhinosporidiosis	Rhinosporidiosis	1F56	0
Scedosporiosis	Scedosporiosis	1F2H	0
Talaromycosis	Talaromycosis	1F2K	0
Pneumocystosis, unspecified	Pneumocystosis, unspecified	1F2G.Z	0
Unspecified protozoal disease	Unspecified protozoal disease	1F5Z	0
Malaria due to Plasmodium falciparum, unspecified	Malaria due to Plasmodium falciparum, unspecified	1F40.Z	0
Plasmodium falciparum malaria with cerebral complications	Plasmodium falciparum malaria with cerebral complications	1F40.0	0
Plasmodium vivax malaria without complication	Plasmodium vivax malaria without complication	1F41.Z	0
Plasmodium vivax malaria with rupture of spleen	Plasmodium vivax malaria with rupture of spleen	1F41.0	0
